countrynewwb,codewb,year,merchant_pay,fing2p_card,mobileaccount_t_d
Indonesia,IDN,2011,,,
Japan,JPN,2011,,,
"Korea, Rep.",KOR,2011,,,
Malaysia,MYS,2011,,,
Philippines,PHL,2011,,,
Singapore,SGP,2011,,,
Thailand,THA,2011,,,
United States,USA,2011,,,
Indonesia,IDN,2014,,0.0107478673635821,0.0044963146780123
Japan,JPN,2014,,0.0003799373435599,
"Korea, Rep.",KOR,2014,,0.0244881128055361,
Malaysia,MYS,2014,,0.0309288009818579,0.028302110928492
Philippines,PHL,2014,,0.0221954067710221,0.0422587380396771
Singapore,SGP,2014,,0.011114467730894,0.0614945987389551
Thailand,THA,2014,,0.0019453575635592,0.0130126583392546
United States,USA,2014,,0.0556267582133607,
Indonesia,IDN,2017,,0.016398535775175,0.0312391568092754
Japan,JPN,2017,,0.0031349274306415,
"Korea, Rep.",KOR,2017,,0.015140148024896,
Malaysia,MYS,2017,,0.0158472417026561,0.108763332473914
Philippines,PHL,2017,,0.0117869442519135,0.0452129896231522
Singapore,SGP,2017,,0.0025640237223434,0.0954800799234507
Thailand,THA,2017,,0.0088045530849214,0.0825685941221386
United States,USA,2017,,0.0304655623698102,
Indonesia,IDN,2021,0.129545047758276,0.01674144672725,0.0929231763844944
Japan,JPN,2021,,0.0028593410539799,
"Korea, Rep.",KOR,2021,,0.171183486357849,
Malaysia,MYS,2021,0.503101813526383,0.0133552655797803,0.279788583347285
Philippines,PHL,2021,0.184813064410323,0.00025749024949538,0.217389093131593
Singapore,SGP,2021,,0.018025274935328,0.306042671703265
Thailand,THA,2021,0.632691355557406,0.0457488663752619,0.599998880101383
United States,USA,2021,,0.0206698003930046,
Indonesia,IDN,2024,0.13595791923458,0.0174649138939135,0.220129024040787
Japan,JPN,2024,,,
"Korea, Rep.",KOR,2024,,,0.601022032736356
Malaysia,MYS,2024,0.522447611142088,0.0047079375119855,0.445049316596793
Philippines,PHL,2024,0.134216483675958,0.005666323935524,0.288000006326383
Singapore,SGP,2024,,,0.564689658881854
