countrynewwb,year,merchant_pay,fing2p_card,mobileaccount_t_d
Indonesia,2014,,0.0107478673635821,0.0044963146780123
Japan,2014,,0.0003799373435599,
"Korea, Rep.",2014,,0.0244881128055361,
Malaysia,2014,,0.0309288009818579,0.028302110928492
Philippines,2014,,0.0221954067710221,0.0422587380396771
Singapore,2014,,0.011114467730894,0.0614945987389551
Thailand,2014,,0.0019453575635592,0.0130126583392546
United States,2014,,0.0556267582133607,
Indonesia,2017,,0.016398535775175,0.0312391568092754
Japan,2017,,0.0031349274306415,
"Korea, Rep.",2017,,0.015140148024896,
Malaysia,2017,,0.0158472417026561,0.108763332473914
Philippines,2017,,0.0117869442519135,0.0452129896231522
Singapore,2017,,0.0025640237223434,0.0954800799234507
Thailand,2017,,0.0088045530849214,0.0825685941221386
United States,2017,,0.0304655623698102,
Indonesia,2014,,,
Indonesia,2014,,,
Japan,2014,,,
Japan,2014,,,
"Korea, Rep.",2014,,,
"Korea, Rep.",2014,,,
Malaysia,2014,,,
Malaysia,2014,,,
Philippines,2014,,,
Philippines,2014,,,
Singapore,2014,,,
Singapore,2014,,,
Thailand,2014,,,
Thailand,2014,,,
United States,2014,,,
United States,2014,,,
Indonesia,2017,,,
Indonesia,2017,,,
Japan,2017,,,
Japan,2017,,,
"Korea, Rep.",2017,,,
"Korea, Rep.",2017,,,
Malaysia,2017,,,0.127923429651072
Malaysia,2017,,,0.0874234472031634
Philippines,2017,,,
Philippines,2017,,,
Singapore,2017,,,
Singapore,2017,,,
Thailand,2017,,,
Thailand,2017,,,
United States,2017,,,
United States,2017,,,
Indonesia,2014,,,
Indonesia,2014,,,
Japan,2014,,,
Japan,2014,,,
"Korea, Rep.",2014,,,
"Korea, Rep.",2014,,,
Malaysia,2014,,,
Malaysia,2014,,,
Philippines,2014,,,
Philippines,2014,,,
Singapore,2014,,,
Singapore,2014,,,
Thailand,2014,,,
Thailand,2014,,,
United States,2014,,,
United States,2014,,,
Indonesia,2017,,,
Indonesia,2017,,,
Japan,2017,,,
Japan,2017,,,
"Korea, Rep.",2017,,,
"Korea, Rep.",2017,,,
Malaysia,2017,,,0.116287559498638
Malaysia,2017,,,0.0973744359671469
Philippines,2017,,,
Philippines,2017,,,
Singapore,2017,,,
Singapore,2017,,,
Thailand,2017,,,
Thailand,2017,,,
United States,2017,,,
United States,2017,,,
Indonesia,2014,,,
Indonesia,2014,,,
Japan,2014,,,
Japan,2014,,,
"Korea, Rep.",2014,,,
"Korea, Rep.",2014,,,
Malaysia,2014,,,
Malaysia,2014,,,
Philippines,2014,,,
Philippines,2014,,,
Singapore,2014,,,
Singapore,2014,,,
Thailand,2014,,,
Thailand,2014,,,
United States,2014,,,
United States,2014,,,
Indonesia,2017,,,
Indonesia,2017,,,
Japan,2017,,,
Japan,2017,,,
"Korea, Rep.",2017,,,
"Korea, Rep.",2017,,,
Malaysia,2017,,,0.0887118743955646
Malaysia,2017,,,0.163228694214713
Philippines,2017,,,
Philippines,2017,,,
Singapore,2017,,,
Singapore,2017,,,
Thailand,2017,,,
Thailand,2017,,,
United States,2017,,,
United States,2017,,,
Indonesia,2014,,,
Indonesia,2014,,,
Japan,2014,,,
Japan,2014,,,
"Korea, Rep.",2014,,,
"Korea, Rep.",2014,,,
Malaysia,2014,,,
Malaysia,2014,,,
Philippines,2014,,,
Philippines,2014,,,
Thailand,2014,,,
Thailand,2014,,,
United States,2014,,,
United States,2014,,,
Indonesia,2017,,,
Indonesia,2017,,,
Japan,2017,,,
Japan,2017,,,
"Korea, Rep.",2017,,,
"Korea, Rep.",2017,,,
Malaysia,2017,,,0.0479965080254459
Malaysia,2017,,,0.138873099033556
Philippines,2017,,,
Philippines,2017,,,
Singapore,2017,,,
Singapore,2017,,,
Thailand,2017,,,
Thailand,2017,,,
United States,2017,,,
United States,2017,,,
Indonesia,2014,,,
Indonesia,2014,,,
Japan,2014,,,
Japan,2014,,,
"Korea, Rep.",2014,,,
"Korea, Rep.",2014,,,
Malaysia,2014,,,
Malaysia,2014,,,
Philippines,2014,,,
Philippines,2014,,,
Singapore,2014,,,
Singapore,2014,,,
Thailand,2014,,,
Thailand,2014,,,
United States,2014,,,
United States,2014,,,
Indonesia,2017,,,
Indonesia,2017,,,
Japan,2017,,,
Japan,2017,,,
"Korea, Rep.",2017,,,
"Korea, Rep.",2017,,,
Malaysia,2017,,,0.11211990102331
Malaysia,2017,,,0.0799428109892687
Philippines,2017,,,
Philippines,2017,,,
Singapore,2017,,,
Singapore,2017,,,
Thailand,2017,,,
Thailand,2017,,,
United States,2017,,,
United States,2017,,,
